Designator,Mid X,Mid Y,Layer,Rotation,,,,,,,,,,,,,,,
R12,-153.72,-49.4,bottom,90,,,,,,,,,,,,,,,
R13,-134.55,-99.32,bottom,180,,,,,,,,,,,,,,,
R14,-131.51,-99.32,bottom,180,,,,,,,,,,,,,,,
R15,-128.475,-99.32,bottom,0,,,,,,,,,,,,,,,
R16,-152.27,-49.4,bottom,90,,,,,,,,,,,,,,,
R17,-127.225,-89.85,bottom,180,,,,,,,,,,,,,,,
R18,-156.055,-49.415,bottom,-90,,,,,,,,,,,,,,,
R19,-127.225,-88.39,bottom,180,,,,,,,,,,,,,,,
R20,-135.76,-88.39,bottom,0,,,,,,,,,,,,,,,
R21,-157.515,-49.42,bottom,90,,,,,,,,,,,,,,,
R22,-190.105,-99.22,bottom,180,,,,,,,,,,,,,,,
R23,-187.05,-99.22,bottom,180,,,,,,,,,,,,,,,
R24,-177.3,-100.3,bottom,-90,,,,,,,,,,,,,,,
R25,-175.825,-100.3,bottom,90,,,,,,,,,,,,,,,
R26,-148.705,-52.95,bottom,90,,,,,,,,,,,,,,,
R27,-148.715,-55.99,bottom,90,,,,,,,,,,,,,,,
R28,-141.205,-52.96,bottom,-90,,,,,,,,,,,,,,,
R29,-141.205,-56.005,bottom,-90,,,,,,,,,,,,,,,
R30,-190.105,-101.99,bottom,180,,,,,,,,,,,,,,,
R31,-187.045,-101.99,bottom,180,,,,,,,,,,,,,,,
R35,-177.1655,-107.35,bottom,-90,,,,,,,,,,,,,,,
R36,-175.7055,-107.35,bottom,90,,,,,,,,,,,,,,,
R38,-182.68,-74.19,bottom,90,,,,,,,,,,,,,,,
R39,-138.4375,-105.58625,bottom,180,,,,,,,,,,,,,,,
R40,-138.4525,-104.13625,bottom,0,,,,,,,,,,,,,,,
R41,-171.22,-74.195,bottom,90,,,,,,,,,,,,,,,
R43,-177.01,-74.195,bottom,90,,,,,,,,,,,,,,,
R44,-178.49,-74.195,bottom,-90,,,,,,,,,,,,,,,
R49,-178.29,-51.175,bottom,90,,,,,,,,,,,,,,,
R50,-179.86,-51.175,bottom,90,,,,,,,,,,,,,,,
R51,-121.6805,-57.625,bottom,180,,,,,,,,,,,,,,,
R53,-121.6805,-56.025,bottom,180,,,,,,,,,,,,,,,
R55,-121.6205,-61.675,bottom,180,,,,,,,,,,,,,,,
R57,-121.6205,-59.875,bottom,180,,,,,,,,,,,,,,,
R58,-114.82,-56.85,bottom,90,,,,,,,,,,,,,,,
R60,-114.8205,-60.875,bottom,-90,,,,,,,,,,,,,,,
R61,-122.615,-105.605,bottom,180,,,,,,,,,,,,,,,
R62,-122.615,-104.13,bottom,0,,,,,,,,,,,,,,,
R66,-159.49,-82.395001,bottom,90,,,,,,,,,,,,,,,
R67,-160.96,-82.395,bottom,-90,,,,,,,,,,,,,,,
R68,-160.96,-87.38,bottom,90,,,,,,,,,,,,,,,
R69,-160.96,-79.405,bottom,90,,,,,,,,,,,,,,,
R70,-166.975,-85.23,bottom,0,,,,,,,,,,,,,,,
R71,-166.98,-77.32,bottom,0,,,,,,,,,,,,,,,
R72,-166.98,-88.19,bottom,0,,,,,,,,,,,,,,,
R73,-166.98,-80.24,bottom,0,,,,,,,,,,,,,,,
R76,-172.21,-87.4,bottom,90,,,,,,,,,,,,,,,
R77,-178.27,-85.23,bottom,0,,,,,,,,,,,,,,,
R78,-178.27,-88.19,bottom,0,,,,,,,,,,,,,,,
SW3,-137.25,-55.83,bottom,180,,,,,,,,,,,,,,,
U2,-156.105,-54.5,bottom,0,,,,,,,,,,,,,,,
U3,-131.5,-93,bottom,90,,,,,,,,,,,,,,,
U4,-183.83,-62.495,bottom,90,,,,,,,,,,,,,,,
U5,-163.49,-86.694751,bottom,90,,,,,,,,,,,,,,,
U6,-163.489999,-78.75,bottom,90,,,,,,,,,,,,,,,
U7,-174.75,-86.7,bottom,90,,,,,,,,,,,,,,,
,188.960999,-47.572999,top,0,,,,,,,,,,,,,,,
C2,123.98497,-77.173962,top,-90,,,,,,,,,,,,,,,
C3,121.052152,-77.173962,top,-90,,,,,,,,,,,,,,,
C4,122.522152,-77.173962,top,-90,,,,,,,,,,,,,,,
C5,122.532152,-80.128962,top,90,,,,,,,,,,,,,,,
C6,112.00497,-80.158962,top,90,,,,,,,,,,,,,,,
C7,114.92497,-77.188962,top,-90,,,,,,,,,,,,,,,
C8,113.46497,-77.188962,top,-90,,,,,,,,,,,,,,,
C9,112.00497,-77.188962,top,-90,,,,,,,,,,,,,,,
C15,149.455,-102.055,top,-90,,,,,,,,,,,,,,,
C17,149.335,-108.455,top,-90,,,,,,,,,,,,,,,
C20,110.77,-108.52,top,-90,,,,,,,,,,,,,,,
C21,110.865,-102.075,top,-90,,,,,,,,,,,,,,,
C36,187.14,-68.275,top,-90,,,,,,,,,,,,,,,
C37,183.45,-67.525,top,180,,,,,,,,,,,,,,,
C42,189.73,-68.285,top,-90,,,,,,,,,,,,,,,
D1,121.0932,-68.61,top,180,,,,,,,,,,,,,,,
D2,127.68,-68.61,top,0,,,,,,,,,,,,,,,
D3,117.812152,-83.003962,top,180,,,,,,,,,,,,,,,
D4,188.83,-98.24,top,0,,,,,,,,,,,,,,,
D7,164.4,-53.15,top,0,,,,,,,,,,,,,,,
D9,161.31,-53.14,top,0,,,,,,,,,,,,,,,
D10,188.83,-101.04,top,0,,,,,,,,,,,,,,,
D11,188.83,-103.84,top,0,,,,,,,,,,,,,,,
D12,151.215,-99.33,top,0,,,,,,,,,,,,,,,
D13,151.11,-105.73,top,0,,,,,,,,,,,,,,,
D15,112.5175,-105.77,top,0,,,,,,,,,,,,,,,
D16,112.63,-99.35,top,0,,,,,,,,,,,,,,,
ENC1,123.99,-103.5825,top,0,,,,,,,,,,,,,,,
ENC2,139.23,-103.58,top,0,,,,,,,,,,,,,,,
F1,126.97,-74.99,top,-90,,,,,,,,,,,,,,,
P1,114.89,-68.65,top,0,,,,,,,,,,,,,,,
P3,102.84,-100.27,top,90,,,,,,,,,,,,,,,
P9,149.410999,-69.314999,top,0,,,,,,,,,,,,,,,
PTC1,164.18,-51.65,top,180,,,,,,,,,,,,,,,
PTC2,161.1,-51.64,top,180,,,,,,,,,,,,,,,
R7,113.48497,-80.158962,top,90,,,,,,,,,,,,,,,
R8,112.73497,-82.373962,top,0,,,,,,,,,,,,,,,
R32,151.94,-101.305,top,0,,,,,,,,,,,,,,,
R33,151.94,-102.78,top,0,,,,,,,,,,,,,,,
R34,151.835,-107.705,top,0,,,,,,,,,,,,,,,
R37,151.8375,-109.18,top,0,,,,,,,,,,,,,,,
R42,182.64,-68.985,top,0,,,,,,,,,,,,,,,
R45,176.22,-54.04,top,180,,,,,,,,,,,,,,,
R46,170.19,-57.77,top,180,,,,,,,,,,,,,,,
R47,179.11,-57.77,top,180,,,,,,,,,,,,,,,
R48,185.24,-54.04,top,180,,,,,,,,,,,,,,,
R52,113.235,-107.77,top,0,,,,,,,,,,,,,,,
R54,113.235,-109.245,top,0,,,,,,,,,,,,,,,
R56,113.355,-101.35,top,0,,,,,,,,,,,,,,,
R59,113.355,-102.825,top,0,,,,,,,,,,,,,,,
R63,110.5,-70.22,top,-90,,,,,,,,,,,,,,,
R64,168.0104,-96.247082,top,180,,,,,,,,,,,,,,,
R65,156.9554,-96.25,top,180,,,,,,,,,,,,,,,
R74,184.0104,-96.275,top,180,,,,,,,,,,,,,,,
R75,172.9704,-96.275,top,180,,,,,,,,,,,,,,,
RV1,164.9854,-96.175,top,-90,,,,,,,,,,,,,,,
RV2,180.9854,-96.1928,top,-90,,,,,,,,,,,,,,,
SW1,105.53,-100.07,top,-90,,,,,,,,,,,,,,,
U1,117.962152,-78.773962,top,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
