Ref,Val,Package,PosX,PosY,Rot,Side
"C12","100nF","C_0603_1608Metric",261.050000,-75.050000,-90.000000,top
"C13","4.7µF","C_0603_1608Metric",242.600000,-75.050000,-90.000000,top
"C14","100nF","C_0603_1608Metric",241.050000,-75.050000,-90.000000,top
"C15","4.7µF","C_0603_1608Metric",222.600000,-75.050000,-90.000000,top
"C16","100nF","C_0603_1608Metric",221.050000,-75.050000,-90.000000,top
"C17","4.7µF","C_0603_1608Metric",287.550000,-83.825000,-90.000000,top
"C18","100nF","C_0603_1608Metric",286.000000,-83.825000,-90.000000,top
"C19","4.7µF","C_0603_1608Metric",267.550000,-83.825000,-90.000000,top
"C20","100nF","C_0603_1608Metric",266.000000,-83.825000,-90.000000,top
"C21","4.7µF","C_0603_1608Metric",247.550000,-83.825000,-90.000000,top
"C22","100nF","C_0603_1608Metric",246.000000,-83.825000,-90.000000,top
"C23","4.7µF","C_0603_1608Metric",227.550000,-83.825000,-90.000000,top
"C24","100nF","C_0603_1608Metric",226.000000,-83.825000,-90.000000,top
"C25","4.7µF","C_0603_1608Metric",282.600000,-92.400000,-90.000000,top
"C26","100nF","C_0603_1608Metric",281.050000,-92.400000,-90.000000,top
"C27","4.7µF","C_0603_1608Metric",262.600000,-92.400000,-90.000000,top
"C28","100nF","C_0603_1608Metric",261.050000,-92.400000,-90.000000,top
"C29","4.7µF","C_0603_1608Metric",242.600000,-92.400000,-90.000000,top
"C30","100nF","C_0603_1608Metric",241.050000,-92.400000,-90.000000,top
"C31","4.7µF","C_0603_1608Metric",222.600000,-92.400000,-90.000000,top
"C32","100nF","C_0603_1608Metric",221.050000,-92.400000,-90.000000,top
"C33","4.7µF","C_0603_1608Metric",287.550000,-101.175000,-90.000000,top
"C34","100nF","C_0603_1608Metric",286.000000,-101.175000,-90.000000,top
"C35","4.7µF","C_0603_1608Metric",267.550000,-101.175000,-90.000000,top
"C36","100nF","C_0603_1608Metric",266.000000,-101.175000,-90.000000,top
"C37","4.7µF","C_0603_1608Metric",247.550000,-101.175000,-90.000000,top
"C38","100nF","C_0603_1608Metric",246.000000,-101.175000,-90.000000,top
"C39","4.7µF","C_0603_1608Metric",227.550000,-101.175000,-90.000000,top
"C40","100nF","C_0603_1608Metric",226.000000,-101.175000,-90.000000,top
"C41","4.7µF","C_0603_1608Metric",282.600000,-109.750000,-90.000000,top
"C42","100nF","C_0603_1608Metric",281.050000,-109.750000,-90.000000,top
"C43","4.7µF","C_0603_1608Metric",262.600000,-109.750000,-90.000000,top
"C44","100nF","C_0603_1608Metric",261.050000,-109.750000,-90.000000,top
"C45","4.7µF","C_0603_1608Metric",242.600000,-109.750000,-90.000000,top
"C46","100nF","C_0603_1608Metric",241.050000,-109.750000,-90.000000,top
